,Author,Comment
0,@luciengreg4826,"One piece is running so long, they're gonna make a remake for an ongoing anime and it still finna feel nostalgic"
1,@guiledazen44,WIT is the best at capturing the essence of a manga in the best quality possible. They make some of the best impact animations today without looking messy.
2,@user-ft2rs3rl9c,What a time to be a One Piece fan. My heart rejoices
3,@swaggerofablackteen,"I think this is absolutely great, they can have some top tier animation, great pacing and skip the fillers. This is going to get a lot of new folks in to the anime."
4,@Vicdireaper,If wit studios and oda are involved it’s already set in stone that this is going to be a masterpiece
5,@UnderMysKipAntz,The mere thought of someone recreating this anime with top-notch animation and well-paced storytelling is a dream I never thought could come true.
6,@sipdip_7764,Having someone remake this anime with top tier animation and good pacing is something that I would only dream of.
7,@sergiomelendez285,"There is no way they stop at East Blue. This'll be a huge success, people who have been daunted by the anime's length will be able to jump in for the first time and undoubtedly draw in long time viewers. The audience for this will be huge"
8,@user-ie9rh5ph7j,Man it's just amazing to me how a manga kept going on for 25 years and it just grew and spread far and wide. Never falling just kept reaching newer heights.
9,@noimezzasalma1285,"Cuando vi la noticia no lo podía creer!despues de años esta hermosa obra nos sigue llenando de emoción, esperemos que sea un proyecto hecho con todo el cariño que se merece "
10,@NasTyPrincezzBQ,"I started watching One Piece 9 months ago thinking I’ll tap out in less than one arc.

I’ve reached episode 1079 and so glad I committed. This series and community is so amazing."
11,@XoBabyGURLoXYU,Quality and quantity to bring the anime to justice is insane! To Wit studio and Netflix please don’t let us down!
12,@woid0,getting a live action and a remake before the original ends is crazy. goated show
13,@SPREET5454,One Piece fans are having easily some of the best moments of life right now. What a time it is to be a One Piece fan. Thank you Oda!
14,@user-ll4rs7zf5h,"I love that it is new, i hope to god Megumi Ishitani is a part of it. Her vision is so unique and blends so well with the Manga. I know shes normally not a part of WIT studios but she needs to be there in my opinion. I love her work."
15,@xavierbosch7102,"This is what One Piece deserves, a good animation. I hope they keep the original soundtrack."
16,@moonluna__,"Love how in every generation, One Piece is still loved "
17,@fiendyt3677,This could easily be Netflix's most watched show if it comes with perfection
18,@HawkOfDarkness,its crazy how much one piece has blown up in the general public in this past year alone it was always the most popular manga but was still never talked about
19,@yokun5764,"As someone who watch One Piece since their childhood, I feel sense of sadness but also happiness. 
The old one made me love One Piece, even with the silliness, but the new one probably will reflect One Piece as it peak form, which I could never have had. I can't wait!!"
20,@justallwrong5401,"One Piece; a story so great, the creators wanted to tell it again."
