Author,Comment,Sentiment
,Gooooosebumps Overloaded ,Neutral
@limitedpiece,Goosebumps is a small word for this ,Negative
@ActorPrabhas11,"THANK YOU DARLING'S FOR SUPPORT, KEEP ENJOYING!",Positive
@Satish-md1vm,Goosebumps @3:36,Neutral
@xmsyz447,"I don't know why some people hate this movie but I definitely say this movie will also based on such story that all people get emotional and this movie gives a positive message like kgf gives Mother's feeling i love Prasanth neel's direction, and story writing salute to Whole Salaar and Kgf Team for spreading good message ",Positive
@Kunals69,"It's Not A Trailer, It's PURE GOOSEBUMPS ",Positive
@theideasfact411,"It's Not A Trailer, it's PURE GOOSEBUMPS ️",Positive
@technodot6460,"Luckily I was listening to the trailer on home theater in a  close room, believe me all the beat and voice literally it is a pure goosebumps",Positive
@deelnawazkhan5224,2:32 Goosebumps,Neutral
@user-sq8vt3bq7s,"It's Not JUST A Trailer, it's PURE GOOSEBUMPS ",Positive
@Ayush0923,Yeh hai Indian cinema ka future  pure goosebumps,Positive
,"Goosebumps 
Waiting ️",Neutral
@srockmaworld,This trailer give me goosebumps ,Neutral
@shaiksuniha8461,Goosebumps ,Neutral
@gautamRDX541,"It's Not A Trailer, It's PURE GOOSEBUMPS",Positive
@palbalar1518,3:22 dialogue is goosebumps ,Neutral
,I Love This Trailer   Good Work Salaar Team,Positive
@durgeshbhai6041-oe6vx,"It's Not A Trailer, it's PURE GOOSEBUMPS ",Positive
@SRR83,No one can beat the dialogue of Indian cinemas ,Neutral
@ankitgupte913,02:30 - 02:43 Best dialogue ,Positive
,Gooooosebumps Overloaded ,Neutral
@limitedpiece,Goosebumps is a small word for this ,Negative
@ActorPrabhas11,"THANK YOU DARLING'S FOR SUPPORT, KEEP ENJOYING!",Positive
@Satish-md1vm,Goosebumps @3:36,Neutral
@xmsyz447,"I don't know why some people hate this movie but I definitely say this movie will also based on such story that all people get emotional and this movie gives a positive message like kgf gives Mother's feeling i love Prasanth neel's direction, and story writing salute to Whole Salaar and Kgf Team for spreading good message ",Positive
@Kunals69,"It's Not A Trailer, It's PURE GOOSEBUMPS ",Positive
@theideasfact411,"It's Not A Trailer, it's PURE GOOSEBUMPS ️",Positive
@technodot6460,"Luckily I was listening to the trailer on home theater in a  close room, believe me all the beat and voice literally it is a pure goosebumps",Positive
@deelnawazkhan5224,2:32 Goosebumps,Neutral
@user-sq8vt3bq7s,"It's Not JUST A Trailer, it's PURE GOOSEBUMPS ",Positive
@Ayush0923,Yeh hai Indian cinema ka future  pure goosebumps,Positive
,"Goosebumps 
Waiting ️",Neutral
@srockmaworld,This trailer give me goosebumps ,Neutral
@shaiksuniha8461,Goosebumps ,Neutral
@gautamRDX541,"It's Not A Trailer, It's PURE GOOSEBUMPS",Positive
@palbalar1518,3:22 dialogue is goosebumps ,Neutral
,I Love This Trailer   Good Work Salaar Team,Positive
@durgeshbhai6041-oe6vx,"It's Not A Trailer, it's PURE GOOSEBUMPS ",Positive
@SRR83,No one can beat the dialogue of Indian cinemas ,Neutral
@ankitgupte913,02:30 - 02:43 Best dialogue ,Positive
@officialrohitkarnwal4100,"It's Not A trailer, it's PURE GOOSEBUMPS ",Positive
@ankurtiwari1951,Goosebumps is a small word for salaar,Negative
,What a Thriller!!! Prabhas at Top! Wait Beginns,Positive
@kulanatakri9592,Goosebumps guaranteed ,Neutral
@rajeshnayak9629,gossebump ,Neutral
@maheshmehar5397,It's not a trailer it's pure GOOSEBUMPS ,Positive
@sweetyplk,"SALAR= ""Is about true friendship 
Friendship is a emotion
No blood relationship
Stil they will always with us as supportive piller,",Positive
,Kya baat h prabhas ,Neutral
@ChefHameedaskitchen,"It'nota Trailer. It,s Pure GOOSEBUMPS",Positive
@Cristiano_Ronaldo_865,"I have never experienced more Goosebumps than this 

I am stunned ",Positive
@Vijay_kumar_2343,1:43 goosebumps ,Neutral
@addictedguy2523,It's not a trailer  it's pure goobumps,Positive
@Rishi_03,This is much better than first trailer that's we want from darling prabhas garu ,Positive
,DIEHARD FANS OF PRABOSS,Neutral
@AnilKumar-sr9nc,Prabhas entry totally goosebumps.,Neutral
@crawlerzwhite,"Despite their strong bond, the thought of them turning into each other's enemies is truly heart-wrenching",Positive
@FF-qz4nv,Goosebumps ,Neutral
@Ramkumar-jz7eo,"It's a trailer, it's pure goosebumps.
Picture toh avi baaki hain",Positive
@motivation_center_07,"Goooooosebumps overoverloaded 


Prabhas fan like here ",Neutral
@yogesh_13,"2:10 that scene 
Literally goosebumps ",Neutral
,Gooooosebumps Overloaded ,Neutral
@limitedpiece,Goosebumps is a small word for this ,Negative
@ActorPrabhas11,"THANK YOU DARLING'S FOR SUPPORT, KEEP ENJOYING!",Positive
@Satish-md1vm,Goosebumps @3:36,Neutral
